Date,use [kW]_x,gen [kW]_x,GuestHouseKitchen [kW]_x,GuestHouseKitchen [kW].1_x,GroundSourceHeatPump [kW]_x,Photovoltaics [kW]_x,WellPump [kW]_x,Range [kW]_x,SecondFloorBathroom [kW]_x,PanelReceptacles [kW]_x,KitchenReceptacles [kW]_x,KitchenReceptacles [kW].1,Microwave [kW]_x,Refrigerator [kW]_x,use [kW]_y,gen [kW]_y,FreshAirVentilation [kW],HousePanel [kW],LivingRoomReceptacles [kW],SecondFloorBathroom [kW]_y,WashingMachine [kW],Studies&amp;OutsideLighting [kW],DiningRoomReceptacles [kW],Basement&amp;HallLighting [kW],GuestHouseBathroom [kW],GuestHouseBedroom [kW],WorkshopReceptacleBathHeater [kW],GuestHouseKitchen [kW]_y,GuestHouseKitchen [kW].1_y,GroundSourceHeatPump [kW]_y,Photovoltaics [kW]_y,WellPump [kW]_y,Range [kW]_y,SecondFloorBathroom [kW].1,PanelReceptacles [kW]_y,KitchenReceptacles [kW]_y,Microwave [kW]_y,Refrigerator [kW]_y,NetHousePowerUsage [kW]_x,GarageReceptacles&amp;Lights [kW]_x,GarageReceptacles [kW]_x,ShedReceptacles [kW]_x,ShedLights [kW]_x,PanelReceptacles [kW].1,GaragePV [kW]_x,GuestHouseLivingRoom [kW]_x,MasterBedroom [kW]_x,HeatCirculatorPumps [kW]_x,DomesticHotWaterReserve [kW]_x,MasterBathroom [kW]_x,KitchenIsland [kW]_x,RadiantHeatReserveTank [kW]_x,BasementReceptacles [kW]_x,Dryer [kW]_x,KitchenLighting [kW]_x,GuestHouseDiningRoomRecept [kW]_x,Porch+VerandaLighting [kW]_x,use [kW]_x,gen [kW]_x,GuestHouseLivingRoom [kW]_y,MasterBedroom [kW]_y,HeatCirculatorPumps [kW]_y,DomesticHotWaterReserve [kW]_y,MasterBathroom [kW]_y,KitchenIsland [kW]_y,RadiantHeatReserveTank [kW]_y,BasementReceptacles [kW]_y,Dryer [kW]_y,KitchenLighting [kW]_y,GuestHouseDiningRoomRecept [kW]_y,Porch+VerandaLighting [kW]_y,use [kW]_y,gen [kW]_y,NetHousePowerUsage [kW]_y,GarageReceptacles [kW]_y,GarageReceptacles&amp;Lights [kW]_y,ShedReceptacles [kW]_y,ShedLights [kW]_y,PanelReceptacles [kW],GaragePV [kW]_y
2015-11-03,0.0,0.0,0.037876941,0.019379166000000003,0.460815557,26.529491666999995,0.8003855559999999,0.007446667000000001,0.3058788859999999,0.08874278,0.006035278,0.037393055,0.13532138800000001,1.064517778,2.5847352819999996,43.10596416600001,0.749360559,27.458691664999996,0.070305276,0.018713055000000006,0.018596112,0.030656947000000004,0.001621663,0.044488889999999996,0.052530834000000005,0.04582083099999999,1.779609445,0.037877498999999995,0.019379443000000003,0.4992061100000001,28.416673057000004,0.862355278,0.024975000000000004,0.32775249999999995,0.10913611100000004,0.030027500000000002,0.152052778,1.1547355550000002,22.428764164999997,0.007818057,0.28063666899999995,0.047251389,0.013087221999999996,0.085874165,14.718342224000002,0.08851388900000001,0.07816000099999999,0.085349999,0.050049444000000005,0.04839277699999999,0.023387497999999996,0.048959445,0.105732224,0.00374333,0.037048612999999994,0.0008155570000000001,0.011591945999999997,0.0,0.0,0.272551111,0.217347774,0.24736333499999993,0.20019555299999997,0.19357110899999996,0.093549999,0.19583777899999996,0.332005561,0.014973331999999997,0.05223444400000002,0.0033177760000000014,0.04636778000000002,0.0,0.0,83.96823110900002,1.0306255550000003,0.031777780000000005,0.18899888700000003,0.05336889099999999,0.25157000099999993,53.947242223999986
2015-11-04,0.0,0.0,0.03825333399999999,0.019449721,0.46343444600000006,26.784713888000002,0.271631112,0.007338887,0.307109165,0.08903499899999999,0.006051387,0.037656112000000005,0.13594305700000003,1.092405276,2.022190278,43.900841114,0.736682779,27.254002500999995,0.07076638900000001,0.018853052,0.018554998000000003,0.030463886999999995,0.001595,0.044670276999999994,0.052869446,0.046019168,1.787294725,0.038253054999999994,0.019449445,0.501746946,28.699296667000002,0.29202499999999987,0.025299723000000003,0.32900138799999995,0.10935638899999997,0.030041391,0.15280777800000003,1.184294998,22.572664998999997,0.0077283349999999985,0.281825276,0.035038611000000004,0.013201945,0.08714694499999998,15.217544999999998,0.068587777,0.078472222,0.08586777599999999,0.05030777699999999,0.048627223,0.023440555,0.049567221,0.10571999900000001,0.0038344430000000003,0.03705110899999999,0.000846111,0.012762777999999999,0.0,0.0,0.274351113,0.21864999799999998,0.24960777699999998,0.20123111200000005,0.19450889200000007,0.093762223,0.198268888,0.33214222199999993,0.015340000999999997,0.052241116000000004,0.0033844419999999997,0.051051107999999984,0.0,0.0,84.56586110799998,1.0355700010000002,0.03113666699999999,0.14015444800000001,0.054016662000000014,0.256486671,55.788075553000006
2015-11-05,0.0,0.0,0.03733750000000001,0.019293333999999995,2.651174999,16.643868889999997,0.33872722299999997,0.47007444499999995,0.510886387,0.08864055600000002,0.158248888,0.34470194299999996,0.16837194199999994,1.279964165,6.7821024990000005,28.172005832999996,0.7428488890000001,22.201110557000003,0.07133916800000001,0.019332499,0.017087780000000004,0.057329999,0.001744445,0.098195555,0.052296388,0.04520944600000001,1.7688055549999997,0.037337224,0.019293332,2.848805001,17.820983889000004,0.363415557,0.519568057,0.548747223,0.10896083499999999,0.192251943,0.187642222,1.3853983330000001,16.221930276000002,0.0076605560000000015,0.28171611100000005,0.03663805400000001,0.008041665,0.07149666600000001,10.378448053000001,0.067887777,0.196014444,0.0861075,0.047296667,0.049555834,0.024455832999999996,0.04444110999999999,0.105195834,0.0035883309999999993,1.0355491659999998,0.000733336,0.01582528,0.0,0.0,0.2715511179999999,0.6529322249999999,0.2505133319999999,0.18918666699999998,0.19822333500000006,0.09782333400000001,0.17776444100000002,0.32993333399999986,0.014353336999999996,3.7364322249999997,0.003028889,0.06329999899999998,0.0,0.0,62.541571112,1.0327000000000002,0.030930001000000016,0.1465522199999999,0.033095558000000025,0.198821109,38.077099995000005
2015-11-06,0.0,0.0,0.03686611299999999,0.019302776999999997,2.68651389,5.958377224,1.0949505549999998,1.0450549999999998,0.4526183339999999,0.088983613,0.522674445,0.049635281,0.30333555700000003,1.5245866650000002,9.706042221999999,10.376169722,0.7572150000000001,13.4084875,0.38279833199999996,0.030288055,0.017595556,0.331900278,0.002508055,0.13536194599999998,0.05172444500000001,0.044377220999999994,1.75531833,0.03686666599999999,0.019303056,2.8949327790000003,6.3555425,1.177884997,1.14148389,0.4859066669999999,0.10945666700000002,0.584425834,0.33044777700000005,1.6470808369999999,7.352360277,0.007601111,0.3900375019999999,0.039018611,0.0029583330000000005,3.3709552780000003,4.030472777000001,0.06782194500000001,0.39236277899999994,0.085142501,0.04596333600000001,0.188763056,0.024902778,0.041281666,0.10459278000000001,0.003524442999999999,0.9895863900000001,0.001125835,0.016853055999999998,0.0,0.0,0.271286668,1.3853544420000001,0.24639555299999996,0.18385333100000004,0.7550522230000002,0.09961111299999997,0.16512666399999998,0.32807111699999997,0.014095559,3.5768988849999994,0.004856665,0.06741333199999999,0.0,0.0,30.474607779000007,1.4281444450000005,0.031540000000000006,0.156074446,0.013271113,12.285254443999998,14.846684445000001
2015-11-07,0.0,0.0,0.036476112,0.01912972,3.5154977780000007,6.728234441,0.7587677799999998,3.159762776,0.420563889,0.08880833600000003,0.5313413910000001,0.154646391,0.27016027899999995,1.3824852780000003,13.279543889,11.339379165999999,0.7622130559999999,16.519968054,0.39792194399999997,0.025593612,0.01877611,0.102210835,0.002119167,0.075135835,0.051378611000000005,0.043952222,1.74993861,0.036476111000000006,0.01912972,3.7689427789999987,7.181881948999999,0.8146938920000001,3.263382499,0.4522688910000001,0.109151668,0.5931227780000001,0.29650639,1.4940291689999998,8.293946666,0.007826663,0.27394499899999997,0.039701946,0.004265835000000001,0.08709083000000001,4.168554443000001,0.06695555200000002,0.25918611300000005,0.08610166600000002,0.04278389000000001,0.040285554999999994,1.392916112,0.038053333,0.10323861,0.003468889,1.1105300020000002,0.004019168,0.019650835,0.0,0.0,0.26782333500000005,1.0367344469999997,0.25025444099999994,0.1732466659999999,0.16114222200000003,5.571664445000001,0.15667555500000005,0.321954449,0.013875559000000006,4.013939996,0.016165556999999987,0.07860221600000003,0.0,0.0,37.67987333800001,1.0019833319999998,0.031633332,0.15880777199999999,0.019587778,0.25618111099999996,15.35376222
2015-11-08,0.0,0.0,0.037045275999999995,0.019066389,1.3714355559999998,21.510826112000004,1.45938889,0.9275505580000001,0.309835557,0.08830555700000002,0.3499855529999999,0.5985874999999999,0.251298056,1.3092477780000003,7.456886388000002,35.242507502999985,0.784231666,14.767056941000002,0.41012805599999996,0.019178054000000003,0.9731722239999998,0.05773250200000001,0.001981389,0.42588583399999996,0.05122694500000001,0.044954998999999995,1.7601141649999998,0.037045275999999995,0.019066387,1.4821327779999998,23.003661666,1.54921972,0.927550558,0.33229583399999996,0.109001666,0.39992110899999983,0.27534416500000003,1.4171658349999998,12.473029443000001,0.0063258329999999995,0.285723055,0.037329720999999996,0.007882223,1.5892499990000002,12.246974167999998,0.066797502,0.08185638999999999,0.08562110900000001,0.044017222,0.06315860699999999,1.286913612,0.038279444,0.10358972300000001,0.004101109000000001,0.040759998,0.003622222,0.016282778999999997,0.0,0.0,0.26718667000000007,0.32742222300000007,0.24860111399999998,0.17675555900000003,0.2526322209999999,5.1476533310000026,0.16159555199999998,0.32369444599999997,0.016404443999999994,0.06731555600000001,0.014871111999999999,0.06513111300000002,0.0,0.0,51.995366672999964,1.0472200030000003,0.028687780000000006,0.14931888799999996,0.03494666699999999,5.762157774999999,44.97750444600001
2015-11-09,0.0,0.0,0.03758916800000001,0.019343331999999998,4.071295554999999,28.094763888,0.799039446,0.007558889,0.30496249999999997,0.088273055,0.005939166000000001,0.037046668,0.13469861100000002,1.023033888,6.729532222000001,46.223944720999995,0.7450972220000001,31.21132749999999,0.07092861100000002,0.018878055,0.018147777,0.040009167000000005,0.001862779,0.04432416800000001,0.052145833,0.04507221999999999,1.7703538880000003,0.03758889100000001,0.019343054,4.3697591650000005,30.084122222,0.8552833349999999,0.007558888999999999,0.32665555500000004,0.10860166599999999,0.029919998,0.151242498,1.1105025009999998,24.827681386000002,0.008590277,0.27842555399999996,0.035102502,0.014902778000000004,0.084552779,16.142045278,0.06799861300000001,0.05394583099999999,0.424041109,0.04847000299999999,0.048099445,0.059099721,0.04676666500000001,0.105032223,0.003397781,0.037041107999999996,0.0009080550000000001,0.011929719999999998,0.0,0.0,0.27199778399999996,0.215785558,1.6291722239999997,0.19388222500000002,0.19240111100000007,0.23640221899999997,0.18706888699999993,0.3294399970000001,0.013591115999999999,0.052244442999999995,0.0037077750000000013,0.047718889999999986,0.0,0.0,93.51242888899999,1.0224733340000003,0.034805557999999986,0.140410001,0.06108889100000003,0.24827110700000005,59.20148666399998
2015-11-10,0.0,0.0,0.037338887999999994,0.019440277999999995,0.45734944499999997,9.436276110999998,0.266539998,0.003923333,0.30450972499999995,0.08826139,0.005908057,0.036545281000000006,0.13476722300000002,1.1679825000000001,2.0902963900000002,16.393097779000005,0.734882778,11.264925278,0.07105055799999999,0.019032221,0.018332222,0.034906111,0.0018391660000000002,0.044420552999999995,0.052355832000000005,0.045165278,1.7710813879999996,0.037338888999999986,0.019440277999999995,0.49681639100000013,10.116340830999999,0.28705166800000004,0.003923332,0.32646416500000003,0.10887194699999998,0.02988777699999999,0.15109888900000001,1.268409721,8.857735,0.004561665,0.27570555699999993,0.04033389,0.004552221,0.06572777699999999,6.285875832,0.06797694600000001,0.054281388000000014,0.060922779,0.048746665999999994,0.04810972100000001,0.059180832999999995,0.04740889,0.105082499,0.0033588900000000002,0.037968613,0.0005755549999999998,0.01288111,0.0,0.0,0.27190777599999993,0.21712555400000008,0.24368999999999993,0.19498666600000003,0.19243777500000003,0.2367233309999999,0.18963555499999998,0.32996444100000005,0.013435553999999995,0.055951107000000014,0.0025488850000000003,0.05152555700000002,0.0,0.0,34.063483331,1.011677777,0.018851109,0.1613355510000001,0.019846666999999985,0.16764555599999997,23.113506664999992
2015-11-11,0.0,0.0,0.03656027800000001,0.019398892,3.4034983340000005,2.4963555559999997,0.263601109,0.003981110999999999,0.301360832,0.087721667,0.005461668,0.036225831,0.13392166699999997,0.9358025019999999,5.280549444999999,4.669056944999999,0.7389319460000001,7.620814446,0.0702975,0.018826665,0.018673334000000003,0.044975834000000006,0.00229361,0.044289165000000005,0.051554165,0.04441666700000001,1.7561561119999998,0.036560556,0.019399168999999997,3.660359721,2.654037498999999,0.28397861100000005,0.003981111999999999,0.32267944400000004,0.10819638799999999,0.029443057000000005,0.149978057,1.0182972220000002,3.726359444,0.006135553000000001,0.270405836,0.04232805600000001,0.0011997209999999997,0.055028612000000005,2.015019444,0.06748305500000001,0.053865000999999996,0.312926666,0.046666112,0.04787111299999999,0.059463891,0.044934445999999996,0.104328056,0.003213333,0.038467221,0.0006999990000000002,0.013601111000000003,0.0,0.0,0.26993222600000016,0.21546000099999998,1.2517066609999998,0.186664441,0.19148444199999998,0.23785444399999986,0.17973777699999993,0.327203332,0.012853330999999999,0.057942225999999986,0.0028822199999999996,0.05440333000000002,0.0,0.0,16.774770001000007,0.9904644430000001,0.024542222999999988,0.169312225,0.006258887000000002,0.12449111300000001,7.464675560999999
2015-11-12,0.0,0.0,0.036734999000000004,0.019462778,5.263496665000001,1.6585588859999998,0.7955861089999998,0.00358611,0.302247778,0.088006109,0.005469721,0.03656111100000001,0.134599444,0.905418611,7.997643055,3.2535755570000005,0.7321674979999999,9.510349998999997,0.070398612,0.019020555,0.018141666000000004,0.04527444600000001,0.002465834,0.044469444999999996,0.051817781,0.044482499999999994,1.7592586100000005,0.03673444100000001,0.019462499000000005,5.652402221,1.7528361129999999,0.860798887,0.003586109,0.32377361199999993,0.10858972,0.029461665999999997,0.15077500100000002,0.9863224970000001,4.073902778,0.007090279000000001,0.270361946,0.042307502000000004,0.001272222,0.05182,1.5007394449999998,0.06784333599999999,0.054237498,0.496425277,0.046346664999999995,0.048111667000000004,0.059633611,0.04432444500000001,0.10460194199999999,0.003396668,0.038614445,0.000697778,0.013706945000000002,0.0,0.0,0.271372222,0.21694999999999998,1.985701115,0.185386666,0.19244666699999993,0.23853443999999996,0.1772955540000001,0.32843444400000005,0.013586662000000003,0.05848445100000001,0.002888882999999999,0.05482777500000001,0.0,0.0,19.243781111000008,0.9900699950000003,0.028361110999999994,0.169230003,0.007233330999999999,0.11195111399999995,5.582788889000001
2015-11-13,0.0,0.0,0.036927218,0.019512779999999997,5.410355557000001,4.6434255570000005,0.26514833400000004,0.0031111100000000007,0.30252222000000006,0.08821500100000002,0.005342220999999999,0.036855276,0.13487444500000004,0.8697916649999999,7.367707778999999,8.056751945999999,0.7423163870000001,11.54560889,0.070403056,0.019003335,0.018257221000000004,0.044375279999999996,0.0024772220000000003,0.044369443999999994,0.051980001,0.044641666999999996,1.7608258329999997,0.036927778,0.019513059,5.822555001,4.991993054,0.28630194500000006,0.0031111100000000007,0.324609168,0.10939222200000001,0.025463331999999998,0.15111166600000003,0.9524550019999998,6.22971861,0.006234999000000001,0.27203194699999994,0.041733332,0.002442777,0.05612361099999999,3.0869927789999996,0.06797722199999999,0.054391666,0.315943612,0.047053334,0.048176944,0.05957305699999999,0.04559666599999999,0.089580277,0.0033272229999999994,0.03861638900000001,0.000715833,0.013979720000000001,0.0,0.0,0.271909998,0.2175666699999999,1.2638688850000004,0.18821333099999984,0.19270778199999997,0.23829333799999985,0.18238888900000003,0.32842111200000007,0.013308895000000003,0.058497778000000014,0.002963328999999999,0.055920003,0.0,0.0,26.910865554,0.9967755560000002,0.025781111000000002,0.16693333399999996,0.011035559999999996,0.12956110999999998,11.412673333999997
2015-11-14,0.0,0.0,0.03644222399999999,0.019454167000000005,10.532544443,8.037810556,0.26616500000000004,0.0019166659999999996,0.30071638999999994,0.08776083400000001,0.005403890000000001,0.03625305299999999,0.13416861,0.9071141659999999,13.296152777,13.338354444,0.734205001,20.379159445000003,0.070623055,0.019230556000000006,0.017793887999999994,0.058893610999999985,0.002647778,0.04453749800000001,0.051331390000000005,0.043910833,1.755948335,0.036442221,0.019454166000000002,11.318786389000001,8.599545555,0.28681972,0.0019166659999999994,0.32229055800000006,0.10846305599999999,0.005403890000000001,0.150212779,0.9875533340000001,11.178173887000002,0.008218612,0.269560557,0.041574721,0.005000275000000001,0.05622111,4.755669440999998,0.06796777799999999,0.054050555,0.7379724999999998,0.04506944400000001,0.047928333999999996,0.059593054000000006,0.043492778999999995,0.08182638899999999,0.0030911110000000006,0.038461112,0.0006408320000000001,0.013857223000000002,0.0,0.0,0.27187110899999994,0.216203337,2.9518922219999997,0.18027777999999992,0.19171333300000004,0.23837222199999994,0.173971114,0.327304444,0.012364446000000012,0.05789444799999998,0.0027466670000000004,0.055428890000000015,0.0,0.0,46.694598891000005,0.9867988870000004,0.033134441,0.16629889199999995,0.021238887999999997,0.13207778199999995,17.523504442999997
2015-11-15,0.0,0.0,0.03785639,0.019604442000000003,5.532960556,20.503723888000003,1.515695557,0.005334997,0.3045538910000001,0.088660277,0.005362223,0.037510555,0.13574111099999997,0.904902778,8.896545834,33.27427027900001,0.748875835,26.393414166999996,0.070994723,0.019074723000000002,0.018766108999999996,0.047110555000000005,0.0022052799999999996,0.044331945,0.05208111199999999,0.045468057999999985,1.7818974989999998,0.037856113,0.019604445,5.950988336,22.057542224000002,1.6261350009999997,0.005334997,0.32661305399999996,0.10945944500000002,0.005361945000000001,0.152382779,0.9881786090000001,19.06860278,0.008674165999999999,0.277249167,0.03803944200000001,0.010732499999999999,0.074895833,11.228313610999997,0.06886167,0.054789168000000006,0.3915086110000001,0.04842999599999999,0.048390831999999995,0.059668056000000004,0.04822722299999999,0.08278500000000001,0.003087778,0.037663891000000005,0.00071,0.012892501000000002,0.0,0.0,0.27544666799999995,0.219155555,1.5659388889999992,0.19371777700000004,0.193563334,0.23867111200000005,0.19290888600000008,0.3311411160000001,0.012351112000000003,0.05468666399999998,0.003005556999999999,0.05157000199999999,0.0,0.0,73.02390777300003,1.0175411049999998,0.03517889100000001,0.15215777999999996,0.044072219000000024,0.207389995,41.214246665
2015-11-16,0.0,0.0,0.03775111300000001,0.019507776999999994,1.5805172200000002,19.448028334000004,0.26932778099999993,0.005867221,0.303509166,0.08846222200000001,0.0054124989999999994,0.036677219999999996,0.13510805799999998,1.0444569429999997,3.1548291679999987,30.497323888,0.74107111,22.029629442999997,0.07056361200000001,0.018964999999999996,0.018320002,0.037631943999999994,0.0018586109999999998,0.04412499799999999,0.052468890000000004,0.045605834,1.7720188879999998,0.03775139000000001,0.019507777999999996,1.7032741669999998,20.812279722999993,0.289571665,0.0058661089999999996,0.32483500099999996,0.10868972200000002,0.005412777999999999,0.15185361,1.132541665,16.555544444000002,0.007471389,0.2777355570000001,0.038378055999999994,0.009557777999999998,0.07687110999999999,9.707585831000001,0.068058057,0.054145275000000014,0.102303333,0.04923222299999999,0.048094724000000005,0.05924111199999999,0.05000888699999999,0.08285194300000001,0.003117219999999999,0.037258889,0.0006986129999999998,0.012546665999999998,0.0,0.0,0.272232222,0.21658111199999985,0.40921222500000004,0.19693111100000002,0.19237999800000005,0.2369644469999999,0.20003555800000006,0.33140666999999985,0.01246889,0.05307889200000003,0.0028455530000000015,0.050186668,0.0,0.0,62.670681112,1.0195411129999998,0.029882219999999987,0.153512223,0.03994888799999998,0.21356333900000002,35.67990000600001
2015-11-17,0.0,0.0,0.0378375,0.019553055000000007,6.814731111,27.397627779000004,0.271041665,0.006551112000000001,0.3040949989999999,0.08859833499999999,0.005330276000000001,0.03704527900000001,0.13551916600000002,0.9371352760000002,9.145754444,45.053407502,0.7537519450000001,32.476822776,0.070662777,0.019005554999999997,0.018213333,0.04413750100000001,0.0021211120000000005,0.044621942,0.05237611400000001,0.045315000999999994,1.7775236109999997,0.037837221000000004,0.019552778000000003,7.302434444999999,29.325684167,0.29131555500000006,0.006550556000000002,0.32539999699999994,0.10891277599999999,0.005330278000000001,0.15233944400000002,1.02016389,24.912634723000004,0.010185555999999998,0.278287778,0.035733611,0.015137224999999997,0.083478056,15.749837778,0.06843000000000002,0.05435416900000001,0.599168612,0.047819999999999994,0.048307222,0.059195833999999996,0.048854999999999996,0.083115001,0.003084444,0.03695583200000001,0.000718055,0.012566111000000001,0.0,0.0,0.27372000100000005,0.2174166689999999,2.3966744450000004,0.1912800000000001,0.19322778000000004,0.23678332900000013,0.19541999799999998,0.332461116,0.012337779999999998,0.051912219999999995,0.0030855539999999995,0.050264445,0.0,0.0,95.87739444199997,1.022265559,0.04129555800000001,0.142932223,0.06278666200000003,0.243918888,57.811908892
